1, 4,	11, 13, 33, 7, 8,	2, 23, 32, 5, 8,	3, 18, 32, 7, 8
2, 3,	11, 14, 21, 8, 8,	1, 7, 21, 5, 7,	4, 3, 20, 8, 8
1, 4,	11, 1, 33, 7, 8,	2, 14, 32, 5, 8,	3, 8, 32, 7, 8
2, 3,	11, 12, 21, 8, 8,	1, 6, 20, 5, 7,	4, 1, 21, 8, 8
1, 4,	11, 19, 32, 7, 8,	2, 1, 32, 5, 8,	3, 24, 32, 7, 8
2, 3,	11, 8, 21, 8, 8,	1, 1, 21, 5, 7,	4, 17, 21, 8, 8
1, 4,	11, 4, 32, 7, 8,	2, 17, 32, 5, 8,	3, 10, 32, 7, 8
2, 3,	11, 19, 21, 8, 8,	1, 12, 21, 5, 7,	4, 7, 21, 8, 8
1, 4,	11, 18, 32, 7, 8,	2, 28, 32, 5, 8,	3, 23, 32, 7, 8
2, 3,	11, 2, 20, 8, 8,	1, 15, 20, 5, 7,	4, 10, 20, 8, 8
1, 4,	11, 1, 33, 7, 8,	2, 15, 33, 5, 8,	3, 9, 32, 7, 8
2, 3,	11, 18, 20, 8, 8,	1, 10, 21, 5, 7,	4, 6, 21, 8, 8
1, 4,	11, 27, 32, 7, 8,	2, 6, 32, 5, 8,	3, 1, 33, 7, 8
2, 3,	11, 3, 21, 8, 8,	1, 16, 21, 5, 7,	4, 12, 21, 8, 8
1, 4,	11, 19, 32, 7, 8,	2, 31, 33, 5, 8,	3, 25, 32, 7, 8
2, 3,	11, 2, 21, 8, 8,	1, 16, 21, 5, 7,	4, 12, 21, 8, 8
1, 4,	11, 5, 32, 7, 8,	2, 17, 32, 5, 8,	3, 10, 32, 7, 8
2, 3,	11, 13, 20, 8, 8,	1, 5, 21, 5, 7,	4, 1, 21, 8, 8
1, 4,	11, 19, 32, 7, 8,	2, 0, 32, 5, 8,	3, 23, 32, 7, 8
2, 3,	11, 1, 21, 8, 8,	1, 14, 21, 5, 7,	4, 10, 21, 8, 8
1, 4,	11, 1, 32, 6, 8,	2, 10, 32, 5, 8,	3, 6, 32, 7, 8
2, 3,	11, 2, 20, 8, 8,	1, 13, 21, 4, 7,	4, 9, 21, 8, 8
1, 4,	11, 12, 33, 7, 8,	2, 21, 32, 4, 8,	3, 18, 32, 7, 8
2, 3,	11, 0, 21, 8, 8,	1, 14, 21, 5, 7,	4, 9, 21, 8, 8
1, 4,	11, 11, 32, 7, 8,	2, 19, 32, 5, 8,	3, 15, 33, 7, 8
2, 3,	11, 19, 21, 8, 8,	1, 11, 21, 5, 7,	4, 7, 21, 8, 8
1, 4,	11, 28, 32, 7, 8,	2, 5, 32, 5, 8,	3, 1, 33, 7, 8
2, 3,	11, 15, 21, 
